key,values
189__nonlinearity,['189__nonlinearity']
190__PC2,['190__PC2']
190__PD_PeriodicityWang_th0_01,['190__PD_PeriodicityWang_th0_01']
190__autocoeff1,['190__autocoeff1']
190__curve_idx,['190__curve_idx']
190__nonlinearity,['190__nonlinearity']
199__CO_FirstMin_ac,['199__CO_FirstMin_ac']
199__PC2,['199__PC2']
199__PD_PeriodicityWang_th0_01,['199__PD_PeriodicityWang_th0_01']
199__autocoeff1,['199__autocoeff1']
199__autocoeff2,['199__autocoeff2']
199__autocoeff3,['199__autocoeff3']
199__iqr,['199__iqr']
199__nonlinearity,['199__nonlinearity']
199__peak_count,['199__peak_count']
199__troughs_count,['199__troughs_count']
223__CO_FirstMin_ac,['223__CO_FirstMin_ac']
223__CO_f1ecac,['223__CO_f1ecac']
223__PC2,['223__PC2']
223__PD_PeriodicityWang_th0_01,['223__PD_PeriodicityWang_th0_01']
223__autocoeff1,['223__autocoeff1']
223__autocoeff3,['223__autocoeff3']
223__curve_idx,['223__curve_idx']
223__curve_mean,['223__curve_mean']
223__iqr,['223__iqr']
223__nonlinearity,['223__nonlinearity']
223__peak_count,['223__peak_count']
223__troughs_count,['223__troughs_count']
225__CO_HistogramAMI_even_2_5,['225__CO_HistogramAMI_even_2_5']
225__CO_trev_1_num,['225__CO_trev_1_num']
225__DN_HistogramMode_10,['225__DN_HistogramMode_10']
225__DN_OutlierInclude_n_001_mdrmd,['225__DN_OutlierInclude_n_001_mdrmd']
225__FC_LocalSimple_mean1_tauresrat,['225__FC_LocalSimple_mean1_tauresrat']
225__FC_LocalSimple_mean3_stderr,['225__FC_LocalSimple_mean3_stderr']
225__IN_AutoMutualInfoStats_40_gaussian_fmmi,['225__IN_AutoMutualInfoStats_40_gaussian_fmmi']
225__MD_hrv_classic_pnn40,['225__MD_hrv_classic_pnn40']
225__PD_PeriodicityWang_th0_01,['225__PD_PeriodicityWang_th0_01']
225__SB_BinaryStats_diff_longstretch0,['225__SB_BinaryStats_diff_longstretch0']
225__SB_MotifThree_quantile_hh,['225__SB_MotifThree_quantile_hh']
225__SB_TransitionMatrix_3ac_sumdiagcov,['225__SB_TransitionMatrix_3ac_sumdiagcov']
225__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,['225__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1']
225__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['225__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
225__SP_Summaries_welch_rect_centroid,['225__SP_Summaries_welch_rect_centroid']
225__curve_mean,['225__curve_mean']
225__nonlinearity,['225__nonlinearity']
24__PC2,['24__PC2']
24__PD_PeriodicityWang_th0_01,['24__PD_PeriodicityWang_th0_01']
24__autocoeff2,['24__autocoeff2']
24__autocoeff3,['24__autocoeff3']
24__count,['24__count']
24__curve_idx,['24__curve_idx']
24__iqr,['24__iqr']
24__nonlinearity,['24__nonlinearity']
255__CO_Embed2_Dist_tau_d_expfit_meandiff,['255__CO_Embed2_Dist_tau_d_expfit_meandiff']
255__CO_FirstMin_ac,['255__CO_FirstMin_ac']
255__CO_HistogramAMI_even_2_5,['255__CO_HistogramAMI_even_2_5']
255__CO_trev_1_num,['255__CO_trev_1_num']
255__DN_HistogramMode_10,['255__DN_HistogramMode_10']
255__DN_HistogramMode_5,['255__DN_HistogramMode_5']
255__DN_OutlierInclude_p_001_mdrmd,['255__DN_OutlierInclude_p_001_mdrmd']
255__FC_LocalSimple_mean1_tauresrat,['255__FC_LocalSimple_mean1_tauresrat']
255__MD_hrv_classic_pnn40,['255__MD_hrv_classic_pnn40']
255__PD_PeriodicityWang_th0_01,['255__PD_PeriodicityWang_th0_01']
255__SB_BinaryStats_diff_longstretch0,['255__SB_BinaryStats_diff_longstretch0']
255__SB_MotifThree_quantile_hh,['255__SB_MotifThree_quantile_hh']
255__SB_TransitionMatrix_3ac_sumdiagcov,['255__SB_TransitionMatrix_3ac_sumdiagcov']
255__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,['255__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1']
255__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['255__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
255__SP_Summaries_welch_rect_centroid,['255__SP_Summaries_welch_rect_centroid']
255__med,['255__med']
255__nonlinearity,['255__nonlinearity']
255__range,['255__range']
270__CO_Embed2_Dist_tau_d_expfit_meandiff,['270__CO_Embed2_Dist_tau_d_expfit_meandiff']
270__CO_HistogramAMI_even_2_5,['270__CO_HistogramAMI_even_2_5']
270__CO_trev_1_num,['270__CO_trev_1_num']
270__DN_OutlierInclude_p_001_mdrmd,['270__DN_OutlierInclude_p_001_mdrmd']
270__FC_LocalSimple_mean1_tauresrat,['270__FC_LocalSimple_mean1_tauresrat']
270__FC_LocalSimple_mean3_stderr,['270__FC_LocalSimple_mean3_stderr']
270__IN_AutoMutualInfoStats_40_gaussian_fmmi,['270__IN_AutoMutualInfoStats_40_gaussian_fmmi']
270__MD_hrv_classic_pnn40,['270__MD_hrv_classic_pnn40']
270__PC1,['270__PC1']
270__PC2,['270__PC2']
270__PD_PeriodicityWang_th0_01,['270__PD_PeriodicityWang_th0_01']
270__SB_MotifThree_quantile_hh,['270__SB_MotifThree_quantile_hh']
270__SB_TransitionMatrix_3ac_sumdiagcov,['270__SB_TransitionMatrix_3ac_sumdiagcov']
270__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,['270__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1']
270__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['270__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
270__SP_Summaries_welch_rect_area_5_1,['270__SP_Summaries_welch_rect_area_5_1']
270__SP_Summaries_welch_rect_centroid,['270__SP_Summaries_welch_rect_centroid']
270__curve_mean,['270__curve_mean']
270__med,['270__med']
270__min,['270__min']
270__peak_count,['270__peak_count']
270__q1,['270__q1']
270__troughs_count,['270__troughs_count']
288__CO_Embed2_Dist_tau_d_expfit_meandiff,['288__CO_Embed2_Dist_tau_d_expfit_meandiff']
288__CO_HistogramAMI_even_2_5,['288__CO_HistogramAMI_even_2_5']
288__CO_f1ecac,['288__CO_f1ecac']
288__DN_OutlierInclude_n_001_mdrmd,['288__DN_OutlierInclude_n_001_mdrmd']
288__FC_LocalSimple_mean1_tauresrat,['288__FC_LocalSimple_mean1_tauresrat']
288__IN_AutoMutualInfoStats_40_gaussian_fmmi,['288__IN_AutoMutualInfoStats_40_gaussian_fmmi']
288__MD_hrv_classic_pnn40,['288__MD_hrv_classic_pnn40']
288__PC2,['288__PC2']
288__PD_PeriodicityWang_th0_01,['288__PD_PeriodicityWang_th0_01']
288__SB_BinaryStats_diff_longstretch0,['288__SB_BinaryStats_diff_longstretch0']
288__SB_MotifThree_quantile_hh,['288__SB_MotifThree_quantile_hh']
288__SB_TransitionMatrix_3ac_sumdiagcov,['288__SB_TransitionMatrix_3ac_sumdiagcov']
288__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,['288__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1']
288__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['288__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
288__min,['288__min']
288__nonlinearity,['288__nonlinearity']
288__q1,['288__q1']
305__CO_FirstMin_ac,['305__CO_FirstMin_ac']
305__CO_HistogramAMI_even_2_5,['305__CO_HistogramAMI_even_2_5']
305__CO_trev_1_num,['305__CO_trev_1_num']
305__DN_OutlierInclude_n_001_mdrmd,['305__DN_OutlierInclude_n_001_mdrmd']
305__DN_OutlierInclude_p_001_mdrmd,['305__DN_OutlierInclude_p_001_mdrmd']
305__FC_LocalSimple_mean1_tauresrat,['305__FC_LocalSimple_mean1_tauresrat']
305__IN_AutoMutualInfoStats_40_gaussian_fmmi,['305__IN_AutoMutualInfoStats_40_gaussian_fmmi']
305__MD_hrv_classic_pnn40,['305__MD_hrv_classic_pnn40']
305__PC1,['305__PC1']
305__PC2,['305__PC2']
305__PD_PeriodicityWang_th0_01,['305__PD_PeriodicityWang_th0_01']
305__SB_BinaryStats_diff_longstretch0,['305__SB_BinaryStats_diff_longstretch0']
305__SB_BinaryStats_mean_longstretch1,['305__SB_BinaryStats_mean_longstretch1']
305__SB_MotifThree_quantile_hh,['305__SB_MotifThree_quantile_hh']
305__SB_TransitionMatrix_3ac_sumdiagcov,['305__SB_TransitionMatrix_3ac_sumdiagcov']
305__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,['305__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1']
305__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['305__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
305__autocoeff3,['305__autocoeff3']
305__med,['305__med']
305__min,['305__min']
305__q1,['305__q1']
307__CO_Embed2_Dist_tau_d_expfit_meandiff,['307__CO_Embed2_Dist_tau_d_expfit_meandiff']
307__CO_FirstMin_ac,['307__CO_FirstMin_ac']
307__CO_f1ecac,['307__CO_f1ecac']
307__CO_trev_1_num,['307__CO_trev_1_num']
307__DN_OutlierInclude_n_001_mdrmd,['307__DN_OutlierInclude_n_001_mdrmd']
307__FC_LocalSimple_mean1_tauresrat,['307__FC_LocalSimple_mean1_tauresrat']
307__IN_AutoMutualInfoStats_40_gaussian_fmmi,['307__IN_AutoMutualInfoStats_40_gaussian_fmmi']
307__MD_hrv_classic_pnn40,['307__MD_hrv_classic_pnn40']
307__PC2,['307__PC2']
307__PD_PeriodicityWang_th0_01,['307__PD_PeriodicityWang_th0_01']
307__SB_BinaryStats_diff_longstretch0,['307__SB_BinaryStats_diff_longstretch0']
307__SB_BinaryStats_mean_longstretch1,['307__SB_BinaryStats_mean_longstretch1']
307__SB_MotifThree_quantile_hh,['307__SB_MotifThree_quantile_hh']
307__SB_TransitionMatrix_3ac_sumdiagcov,['307__SB_TransitionMatrix_3ac_sumdiagcov']
307__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['307__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
307__SP_Summaries_welch_rect_centroid,['307__SP_Summaries_welch_rect_centroid']
307__iqr,['307__iqr']
307__max,['307__max']
307__nonlinearity,['307__nonlinearity']
307__q1,['307__q1']
327__CO_HistogramAMI_even_2_5,['327__CO_HistogramAMI_even_2_5']
327__CO_trev_1_num,['327__CO_trev_1_num']
327__DN_OutlierInclude_n_001_mdrmd,['327__DN_OutlierInclude_n_001_mdrmd']
327__DN_OutlierInclude_p_001_mdrmd,['327__DN_OutlierInclude_p_001_mdrmd']
327__FC_LocalSimple_mean1_tauresrat,['327__FC_LocalSimple_mean1_tauresrat']
327__PC2,['327__PC2']
327__PD_PeriodicityWang_th0_01,['327__PD_PeriodicityWang_th0_01']
327__SB_BinaryStats_diff_longstretch0,['327__SB_BinaryStats_diff_longstretch0']
327__SB_BinaryStats_mean_longstretch1,['327__SB_BinaryStats_mean_longstretch1']
327__SB_MotifThree_quantile_hh,['327__SB_MotifThree_quantile_hh']
327__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,['327__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1']
327__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['327__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
327__autocoeff3,['327__autocoeff3']
327__curve_idx,['327__curve_idx']
327__curve_max,['327__curve_max']
327__iqr,['327__iqr']
327__nonlinearity,['327__nonlinearity']
327__range,['327__range']
327__std,['327__std']
67__CO_Embed2_Dist_tau_d_expfit_meandiff,['67__CO_Embed2_Dist_tau_d_expfit_meandiff']
67__CO_FirstMin_ac,['67__CO_FirstMin_ac']
67__CO_trev_1_num,['67__CO_trev_1_num']
67__DN_HistogramMode_10,['67__DN_HistogramMode_10']
67__DN_HistogramMode_5,['67__DN_HistogramMode_5']
67__DN_OutlierInclude_n_001_mdrmd,['67__DN_OutlierInclude_n_001_mdrmd']
67__FC_LocalSimple_mean1_tauresrat,['67__FC_LocalSimple_mean1_tauresrat']
67__IN_AutoMutualInfoStats_40_gaussian_fmmi,['67__IN_AutoMutualInfoStats_40_gaussian_fmmi']
67__MD_hrv_classic_pnn40,['67__MD_hrv_classic_pnn40']
67__PD_PeriodicityWang_th0_01,['67__PD_PeriodicityWang_th0_01']
67__SB_BinaryStats_diff_longstretch0,['67__SB_BinaryStats_diff_longstretch0']
67__SB_BinaryStats_mean_longstretch1,['67__SB_BinaryStats_mean_longstretch1']
67__SB_MotifThree_quantile_hh,['67__SB_MotifThree_quantile_hh']
67__SB_TransitionMatrix_3ac_sumdiagcov,['67__SB_TransitionMatrix_3ac_sumdiagcov']
67__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,['67__SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1']
67__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,['67__SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1']
67__curve_idx,['67__curve_idx']
67__curve_max,['67__curve_max']
67__curve_mean,['67__curve_mean']
67__min,['67__min']
67__q1,['67__q1']
